# A settlement export v2.1
# generated by the PSP, do not edit
txn_ref;kind;merchant_batch;psp;auth_code;booking_timestamp;amount_minor;ccy
ch_00002;CHARGE;pout_00001;cashfree;pay_00001;18.08.2026;181801;INR
fee_00001;FEE;pout_00001;cashfree;pay_00001;18.08.2026;-4118;INR
ch_00004;CHARGE;pout_00001;cashfree;pay_00003;18.08.2026;406525;INR
fee_00002;FEE;pout_00001;cashfree;pay_00003;18.08.2026;-8837;INR
ch_00006;CHARGE;pout_00001;cashfree;pay_00005;17.08.2026;759811;INR
fee_00003;FEE;pout_00001;cashfree;pay_00005;17.08.2026;-16256;INR
ch_00008;CHARGE;pout_00001;cashfree;pay_00007;17.08.2026;765204;INR
fee_00004;FEE;pout_00001;cashfree;pay_00007;17.08.2026;-16369;INR
ch_00010;CHARGE;pout_00001;cashfree;pay_00009;18.08.2026;162420;INR
fee_00005;FEE;pout_00001;cashfree;pay_00009;18.08.2026;-3711;INR
ch_00012;CHARGE;pout_00001;cashfree;pay_00011;16.08.2026;253703;INR
fee_00006;FEE;pout_00001;cashfree;pay_00011;16.08.2026;-5628;INR
ch_00014;CHARGE;pout_00001;cashfree;pay_00013;18.08.2026;437927;INR
fee_00007;FEE;pout_00001;cashfree;pay_00013;18.08.2026;-9496;INR
ch_00016;CHARGE;pout_00001;cashfree;pay_00015;17.08.2026;388805;INR
fee_00008;FEE;pout_00001;cashfree;pay_00015;17.08.2026;-8465;INR
ch_00018;CHARGE;pout_00001;cashfree;pay_00017;17.08.2026;653186;INR
fee_00009;FEE;pout_00001;cashfree;pay_00017;17.08.2026;-14017;INR
ch_00020;CHARGE;pout_00001;cashfree;pay_00019;16.08.2026;261016;INR
fee_00010;FEE;pout_00001;cashfree;pay_00019;16.08.2026;-5781;INR
ch_00022;CHARGE;pout_00001;cashfree;pay_00021;18.08.2026;668821;INR
fee_00011;FEE;pout_00001;cashfree;pay_00021;18.08.2026;-14345;INR
ch_00024;CHARGE;pout_00001;cashfree;pay_00023;18.08.2026;748465;INR
fee_00012;FEE;pout_00001;cashfree;pay_00023;18.08.2026;-16018;INR
ch_00026;CHARGE;pout_00001;cashfree;pay_00025;18.08.2026;874772;INR
fee_00013;FEE;pout_00001;cashfree;pay_00025;18.08.2026;-18670;INR
