# B settlement export v2.1
# generated by the PSP, do not edit
txn_ref;kind;merchant_batch;psp;auth_code;booking_timestamp;amount_minor;ccy
ch_00002;CHARGE;pout_00001;cashfree;pay_00001;30.08.2026;781456;INR
fee_00001;FEE;pout_00001;cashfree;pay_00001;30.08.2026;-16711;INR
ch_00004;CHARGE;pout_00001;cashfree;pay_00003;01.09.2026;840735;INR
fee_00002;FEE;pout_00001;cashfree;pay_00003;01.09.2026;-17955;INR
ch_00006;CHARGE;pout_00001;cashfree;pay_00005;31.08.2026;410572;INR
fee_00003;FEE;pout_00001;cashfree;pay_00005;31.08.2026;-8922;INR
ch_00008;CHARGE;pout_00001;cashfree;pay_00007;30.08.2026;419591;INR
fee_00004;FEE;pout_00001;cashfree;pay_00007;30.08.2026;-9111;INR
ch_00010;CHARGE;pout_00001;cashfree;pay_00009;30.08.2026;21180;INR
fee_00005;FEE;pout_00001;cashfree;pay_00009;30.08.2026;-745;INR
ch_00012;CHARGE;pout_00001;cashfree;pay_00011;30.08.2026;421013;INR
fee_00006;FEE;pout_00001;cashfree;pay_00011;30.08.2026;-9141;INR
ch_00014;CHARGE;pout_00001;cashfree;pay_00013;01.09.2026;756259;INR
fee_00007;FEE;pout_00001;cashfree;pay_00013;01.09.2026;-16181;INR
ch_00016;CHARGE;pout_00001;cashfree;pay_00015;31.08.2026;550542;INR
fee_00008;FEE;pout_00001;cashfree;pay_00015;31.08.2026;-11861;INR
ch_00018;CHARGE;pout_00001;cashfree;pay_00017;31.08.2026;300524;INR
fee_00009;FEE;pout_00001;cashfree;pay_00017;31.08.2026;-6611;INR
ch_00020;CHARGE;pout_00001;cashfree;pay_00019;01.09.2026;317518;INR
fee_00010;FEE;pout_00001;cashfree;pay_00019;01.09.2026;-6968;INR
ch_00022;CHARGE;pout_00001;cashfree;pay_00021;01.09.2026;108818;INR
fee_00011;FEE;pout_00001;cashfree;pay_00021;01.09.2026;-2585;INR
ch_00024;CHARGE;pout_00001;cashfree;pay_00023;31.08.2026;471753;INR
fee_00012;FEE;pout_00001;cashfree;pay_00023;31.08.2026;-10207;INR
ch_00026;CHARGE;pout_00001;cashfree;pay_00025;30.08.2026;803490;INR
fee_00013;FEE;pout_00001;cashfree;pay_00025;30.08.2026;-17173;INR
ch_00028;CHARGE;pout_00001;cashfree;pay_00027;01.09.2026;695488;INR
fee_00014;FEE;pout_00001;cashfree;pay_00027;01.09.2026;-14905;INR
ch_00030;CHARGE;pout_00002;cashfree;pay_00029;09.09.2026;379044;INR
fee_00015;FEE;pout_00002;cashfree;pay_00029;09.09.2026;-8260;INR
ch_00032;CHARGE;pout_00002;cashfree;pay_00031;09.09.2026;220254;INR
fee_00016;FEE;pout_00002;cashfree;pay_00031;09.09.2026;-4925;INR
ch_00034;CHARGE;pout_00002;cashfree;pay_00033;08.09.2026;873319;INR
fee_00017;FEE;pout_00002;cashfree;pay_00033;08.09.2026;-18640;INR
ch_00036;CHARGE;pout_00002;cashfree;pay_00035;09.09.2026;832877;INR
fee_00018;FEE;pout_00002;cashfree;pay_00035;09.09.2026;-17790;INR
ch_00038;CHARGE;pout_00002;cashfree;pay_00037;10.09.2026;661511;INR
fee_00019;FEE;pout_00002;cashfree;pay_00037;10.09.2026;-14192;INR
ch_00040;CHARGE;pout_00002;cashfree;pay_00039;10.09.2026;292557;INR
fee_00020;FEE;pout_00002;cashfree;pay_00039;10.09.2026;-6444;INR
ch_00042;CHARGE;pout_00002;cashfree;pay_00041;08.09.2026;847643;INR
fee_00021;FEE;pout_00002;cashfree;pay_00041;08.09.2026;-18101;INR
ch_00044;CHARGE;pout_00002;cashfree;pay_00043;08.09.2026;423743;INR
fee_00022;FEE;pout_00002;cashfree;pay_00043;08.09.2026;-9199;INR
ch_00046;CHARGE;pout_00002;cashfree;pay_00045;10.09.2026;632622;INR
fee_00023;FEE;pout_00002;cashfree;pay_00045;10.09.2026;-13585;INR
ch_00048;CHARGE;pout_00002;cashfree;pay_00047;09.09.2026;516682;INR
fee_00024;FEE;pout_00002;cashfree;pay_00047;09.09.2026;-11150;INR
ch_00050;CHARGE;pout_00002;cashfree;pay_00049;09.09.2026;633504;INR
fee_00025;FEE;pout_00002;cashfree;pay_00049;09.09.2026;-13604;INR
ch_00052;CHARGE;pout_00002;cashfree;pay_00051;10.09.2026;271792;INR
fee_00026;FEE;pout_00002;cashfree;pay_00051;10.09.2026;-6008;INR
ch_00054;CHARGE;pout_00002;cashfree;pay_00053;08.09.2026;731392;INR
fee_00027;FEE;pout_00002;cashfree;pay_00053;08.09.2026;-15659;INR
ch_00056;CHARGE;pout_00002;cashfree;pay_00055;10.09.2026;585205;INR
fee_00028;FEE;pout_00002;cashfree;pay_00055;10.09.2026;-12589;INR
ch_00058;CHARGE;pout_00002;cashfree;pay_00057;10.09.2026;164054;INR
fee_00029;FEE;pout_00002;cashfree;pay_00057;10.09.2026;-3745;INR
ch_00060;CHARGE;pout_00002;cashfree;pay_00059;09.09.2026;307569;INR
fee_00030;FEE;pout_00002;cashfree;pay_00059;09.09.2026;-6759;INR
ch_00062;CHARGE;pout_00002;cashfree;pay_00061;08.09.2026;763864;INR
fee_00031;FEE;pout_00002;cashfree;pay_00061;08.09.2026;-16341;INR
ch_00519;CHARGE;pout_00002;cashfree;pay_00029;09.09.2026;379044;INR
fee_00260;FEE;pout_00002;cashfree;pay_00029;09.09.2026;-8260;INR
ch_00064;CHARGE;pout_00003;razorpay;pay_00063;08.09.2026;171921;INR
fee_00032;FEE;pout_00003;razorpay;pay_00063;08.09.2026;-4326;INR
ch_00066;CHARGE;pout_00003;razorpay;pay_00065;06.09.2026;425001;INR
fee_00033;FEE;pout_00003;razorpay;pay_00065;06.09.2026;-10400;INR
ch_00068;CHARGE;pout_00003;razorpay;pay_00067;06.09.2026;343113;INR
fee_00034;FEE;pout_00003;razorpay;pay_00067;06.09.2026;-8435;INR
ch_00070;CHARGE;pout_00003;razorpay;pay_00069;08.09.2026;111843;INR
fee_00035;FEE;pout_00003;razorpay;pay_00069;08.09.2026;-2884;INR
ch_00072;CHARGE;pout_00003;razorpay;pay_00071;07.09.2026;818730;INR
fee_00036;FEE;pout_00003;razorpay;pay_00071;07.09.2026;-19850;INR
ch_00074;CHARGE;pout_00003;razorpay;pay_00073;06.09.2026;593169;INR
fee_00037;FEE;pout_00003;razorpay;pay_00073;06.09.2026;-14436;INR
ch_00076;CHARGE;pout_00003;razorpay;pay_00075;08.09.2026;91129;INR
fee_00038;FEE;pout_00003;razorpay;pay_00075;08.09.2026;-2387;INR
ch_00078;CHARGE;pout_00003;razorpay;pay_00077;07.09.2026;631574;INR
fee_00039;FEE;pout_00003;razorpay;pay_00077;07.09.2026;-15358;INR
ch_00080;CHARGE;pout_00003;razorpay;pay_00079;06.09.2026;82059;INR
fee_00040;FEE;pout_00003;razorpay;pay_00079;06.09.2026;-2169;INR
ch_00082;CHARGE;pout_00003;razorpay;pay_00081;06.09.2026;189191;INR
fee_00041;FEE;pout_00003;razorpay;pay_00081;06.09.2026;-4741;INR
ch_00084;CHARGE;pout_00003;razorpay;pay_00083;06.09.2026;643451;INR
fee_00042;FEE;pout_00003;razorpay;pay_00083;06.09.2026;-15643;INR
ch_00086;CHARGE;pout_00003;razorpay;pay_00085;06.09.2026;185956;INR
fee_00043;FEE;pout_00003;razorpay;pay_00085;06.09.2026;-4663;INR
ch_00088;CHARGE;pout_00003;razorpay;pay_00087;07.09.2026;843850;INR
fee_00044;FEE;pout_00003;razorpay;pay_00087;07.09.2026;-20452;INR
ch_00090;CHARGE;pout_00003;razorpay;pay_00089;07.09.2026;472112;INR
fee_00045;FEE;pout_00003;razorpay;pay_00089;07.09.2026;-11531;INR
ch_00092;CHARGE;pout_00003;razorpay;pay_00091;06.09.2026;781855;INR
fee_00046;FEE;pout_00003;razorpay;pay_00091;06.09.2026;-18965;INR
ch_00094;CHARGE;pout_00003;razorpay;pay_00093;06.09.2026;871884;INR
fee_00047;FEE;pout_00003;razorpay;pay_00093;06.09.2026;-21125;INR
ch_00096;CHARGE;pout_00003;razorpay;pay_00095;08.09.2026;202668;INR
fee_00048;FEE;pout_00003;razorpay;pay_00095;08.09.2026;-5064;INR
rfnd_00001;REFUND;pout_00003;razorpay;pay_00067;08.09.2026;-343113;INR
ch_00098;CHARGE;pout_00004;razorpay;pay_00097;09.09.2026;614963;INR
fee_00049;FEE;pout_00004;razorpay;pay_00097;09.09.2026;-14959;INR
ch_00100;CHARGE;pout_00004;razorpay;pay_00099;07.09.2026;112655;INR
fee_00050;FEE;pout_00004;razorpay;pay_00099;07.09.2026;-2904;INR
ch_00102;CHARGE;pout_00004;razorpay;pay_00101;07.09.2026;117869;INR
fee_00051;FEE;pout_00004;razorpay;pay_00101;07.09.2026;-3029;INR
ch_00104;CHARGE;pout_00004;razorpay;pay_00103;07.09.2026;768702;INR
fee_00052;FEE;pout_00004;razorpay;pay_00103;07.09.2026;-18649;INR
ch_00106;CHARGE;pout_00004;razorpay;pay_00105;09.09.2026;115644;INR
fee_00053;FEE;pout_00004;razorpay;pay_00105;09.09.2026;-2975;INR
ch_00108;CHARGE;pout_00004;razorpay;pay_00107;08.09.2026;502780;INR
fee_00054;FEE;pout_00004;razorpay;pay_00107;08.09.2026;-12267;INR
ch_00110;CHARGE;pout_00004;razorpay;pay_00109;08.09.2026;460049;INR
fee_00055;FEE;pout_00004;razorpay;pay_00109;08.09.2026;-11241;INR
ch_00112;CHARGE;pout_00004;razorpay;pay_00111;08.09.2026;25716;INR
fee_00056;FEE;pout_00004;razorpay;pay_00111;08.09.2026;-817;INR
ch_00114;CHARGE;pout_00004;razorpay;pay_00113;07.09.2026;90220;INR
fee_00057;FEE;pout_00004;razorpay;pay_00113;07.09.2026;-2365;INR
ch_00116;CHARGE;pout_00004;razorpay;pay_00115;09.09.2026;774230;INR
fee_00058;FEE;pout_00004;razorpay;pay_00115;09.09.2026;-18782;INR
ch_00118;CHARGE;pout_00004;razorpay;pay_00117;07.09.2026;587033;INR
fee_00059;FEE;pout_00004;razorpay;pay_00117;07.09.2026;-14289;INR
ch_00120;CHARGE;pout_00004;razorpay;pay_00119;09.09.2026;122463;INR
fee_00060;FEE;pout_00004;razorpay;pay_00119;09.09.2026;-3139;INR
ch_00122;CHARGE;pout_00004;razorpay;pay_00121;09.09.2026;522821;INR
fee_00061;FEE;pout_00004;razorpay;pay_00121;09.09.2026;-12748;INR
ch_00124;CHARGE;pout_00004;razorpay;pay_00123;07.09.2026;134497;INR
fee_00062;FEE;pout_00004;razorpay;pay_00123;07.09.2026;-3428;INR
ch_00126;CHARGE;pout_00004;razorpay;pay_00125;08.09.2026;92128;INR
fee_00063;FEE;pout_00004;razorpay;pay_00125;08.09.2026;-2411;INR
ch_00128;CHARGE;pout_00004;razorpay;pay_00127;08.09.2026;849740;INR
fee_00064;FEE;pout_00004;razorpay;pay_00127;08.09.2026;-20594;INR
ch_00130;CHARGE;pout_00004;razorpay;pay_00129;08.09.2026;759491;INR
fee_00065;FEE;pout_00004;razorpay;pay_00129;08.09.2026;-18428;INR
ch_00132;CHARGE;pout_00004;razorpay;pay_00131;08.09.2026;799533;INR
fee_00066;FEE;pout_00004;razorpay;pay_00131;08.09.2026;-19389;INR
rfnd_00002;REFUND;pout_00004;razorpay;pay_00115;09.09.2026;-774230;INR
ch_00134;CHARGE;pout_00005;razorpay;pay_00133;21.09.2026;62602;INR
fee_00067;FEE;pout_00005;razorpay;pay_00133;21.09.2026;-1702;INR
ch_00136;CHARGE;pout_00005;razorpay;pay_00135;20.09.2026;565960;INR
fee_00068;FEE;pout_00005;razorpay;pay_00135;20.09.2026;-13783;INR
ch_00138;CHARGE;pout_00005;razorpay;pay_00137;21.09.2026;159909;INR
fee_00069;FEE;pout_00005;razorpay;pay_00137;21.09.2026;-4038;INR
ch_00140;CHARGE;pout_00005;razorpay;pay_00139;21.09.2026;799844;INR
fee_00070;FEE;pout_00005;razorpay;pay_00139;21.09.2026;-19396;INR
ch_00142;CHARGE;pout_00005;razorpay;pay_00141;22.09.2026;219332;INR
fee_00071;FEE;pout_00005;razorpay;pay_00141;22.09.2026;-5464;INR
ch_00144;CHARGE;pout_00005;razorpay;pay_00143;22.09.2026;220954;INR
fee_00072;FEE;pout_00005;razorpay;pay_00143;22.09.2026;-5503;INR
ch_00146;CHARGE;pout_00005;razorpay;pay_00145;20.09.2026;489868;INR
fee_00073;FEE;pout_00005;razorpay;pay_00145;20.09.2026;-11957;INR
ch_00148;CHARGE;pout_00005;razorpay;pay_00147;20.09.2026;462860;INR
fee_00074;FEE;pout_00005;razorpay;pay_00147;20.09.2026;-11309;INR
ch_00150;CHARGE;pout_00005;razorpay;pay_00149;21.09.2026;731723;INR
fee_00075;FEE;pout_00005;razorpay;pay_00149;21.09.2026;-17761;INR
ch_00152;CHARGE;pout_00005;razorpay;pay_00151;21.09.2026;505531;INR
fee_00076;FEE;pout_00005;razorpay;pay_00151;21.09.2026;-12333;INR
ch_00154;CHARGE;pout_00005;razorpay;pay_00153;21.09.2026;553368;INR
fee_00077;FEE;pout_00005;razorpay;pay_00153;21.09.2026;-13481;INR
ch_00156;CHARGE;pout_00005;razorpay;pay_00155;20.09.2026;244981;INR
fee_00078;FEE;pout_00005;razorpay;pay_00155;20.09.2026;-6080;INR
ch_00158;CHARGE;pout_00005;razorpay;pay_00157;20.09.2026;723639;INR
fee_00079;FEE;pout_00005;razorpay;pay_00157;20.09.2026;-17567;INR
ch_00160;CHARGE;pout_00005;razorpay;pay_00159;21.09.2026;603829;INR
fee_00080;FEE;pout_00005;razorpay;pay_00159;21.09.2026;-14692;INR
ch_00162;CHARGE;pout_00005;razorpay;pay_00161;21.09.2026;811530;INR
fee_00081;FEE;pout_00005;razorpay;pay_00161;21.09.2026;-19677;INR
ch_00164;CHARGE;pout_00005;razorpay;pay_00163;21.09.2026;337156;INR
