Txn Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance
02-08-26,NEFT/RAZORPAY/pout_00007/SETTLEMENT,,"₹51,990.42","₹12,92,108.64"
05-08-26,NEFT/CASHFREE/pout_00009/SETTLEMENT,,"₹29,537.74","₹13,21,646.38"
05-08-26,NEFT/RAZORPAY/pout_00014/SETTLEMENT,,"₹53,962.23","₹13,75,608.61"
06-08-26,NEFT/RAZORPAY/pout_00011/SETTLEMENT,,"₹84,769.72","₹14,60,378.33"
06-08-26,NEFT/RAZORPAY/pout_00022/SETTLEMENT,,"₹42,633.84","₹15,03,012.17"
07-08-26,NEFT/CASHFREE/pout_00020/SETTLEMENT,,"₹27,470.68","₹15,30,482.85"
08-08-26,NEFT/CASHFREE/pout_00004/SETTLEMENT,,"₹23,016.66","₹15,53,499.51"
09-08-26,NEFT/RAZORPAY/pout_000/SETTLEMENT,,"₹66,234.79","₹16,19,734.30"
10-08-26,NEFT/RAZORPAY/pout_00003/SETTLEMENT,,"₹63,879.97","₹16,83,614.27"
10-08-26,NEFT/RAZORPAY/pout_00015/SETTLEMENT,,"₹60,902.91","₹17,44,517.18"
12-08-26,VENDOR PAYMENT/ACME PACKAGING,"₹84,200.00",,"₹16,60,317.18"
12-08-26,SALARY/AUG,"₹6,12,000.00",,"₹10,48,317.18"
13-08-26,NEFT/CASHFREE/pout_00008/SETTLEMENT,,"₹54,566.18","₹11,02,883.36"
14-08-26,NEFT/CASHFREE/pout_00006/SETTLEMENT,,"₹42,398.28","₹11,45,281.64"
15-08-26,GST/CHALLAN,"₹1,49,300.00",,"₹9,95,981.64"
17-08-26,NEFT/RAZORPAY/pout_00010/SETTLEMENT,,"₹66,802.58","₹10,62,784.22"
18-08-26,NEFT/RAZORPAY/pout_00016/SETTLEMENT,,"₹65,852.72","₹11,28,636.94"
19-08-26,NEFT/CASHFREE/pout_000/SETTLEMENT,,"₹80,569.13","₹12,09,206.07"
21-08-26,NEFT/RAZORPAY/pout_00012/SETTLEMENT,,"₹38,131.94","₹12,47,338.01"
21-08-26,NEFT/RAZORPAY/pout_00013/SETTLEMENT,,"₹48,679.10","₹12,96,017.11"
21-08-26,NEFT/CASHFREE/pout_00019/SETTLEMENT,,"₹29,479.55","₹13,25,496.66"
24-08-26,NEFT/CASHFREE/pout_00018/SETTLEMENT,,"₹29,323.16","₹13,54,819.82"
25-08-26,IMPS/UNKNOWN COUNTERPARTY/NO REF,,"₹1,160.00","₹13,55,979.82"
27-08-26,NEFT/RAZORPAY/pout_00021/SETTLEMENT,,"₹33,082.77","₹13,89,062.59"
28-08-26,NEFT/RAZORPAY/SETTLEMENT,,"₹87,250.40","₹14,76,312.99"
30-08-26,NEFT/RAZORPAY/pout_00017/SETTLEMENT,,"₹41,236.18","₹15,17,549.17"


