row_id,row_type,payout_id,gateway,payment_id,value_date,amount
ch_00002,CHARGE,pout_00001,cashfree,pay_00001,2026-08-18,1818.01
fee_00001,FEE,pout_00001,cashfree,pay_00001,2026-08-18,-41.18
ch_00004,CHARGE,pout_00001,cashfree,pay_00003,2026-08-18,4065.25
fee_00002,FEE,pout_00001,cashfree,pay_00003,2026-08-18,-88.37
ch_00006,CHARGE,pout_00001,cashfree,pay_00005,2026-08-17,7598.11
fee_00003,FEE,pout_00001,cashfree,pay_00005,2026-08-17,-162.56
ch_00008,CHARGE,pout_00001,cashfree,pay_00007,2026-08-17,7652.04
fee_00004,FEE,pout_00001,cashfree,pay_00007,2026-08-17,-163.69
ch_00010,CHARGE,pout_00001,cashfree,pay_00009,2026-08-18,1624.20
fee_00005,FEE,pout_00001,cashfree,pay_00009,2026-08-18,-37.11
ch_00012,CHARGE,pout_00001,cashfree,pay_00011,2026-08-16,2537.03
fee_00006,FEE,pout_00001,cashfree,pay_00011,2026-08-16,-56.28
ch_00014,CHARGE,pout_00001,cashfree,pay_00013,2026-08-18,4379.27
fee_00007,FEE,pout_00001,cashfree,pay_00013,2026-08-18,-94.96
ch_00016,CHARGE,pout_00001,cashfree,pay_00015,2026-08-17,3888.05
fee_00008,FEE,pout_00001,cashfree,pay_00015,2026-08-17,-84.65
ch_00018,CHARGE,pout_00001,cashfree,pay_00017,2026-08-17,6531.86
fee_00009,FEE,pout_00001,cashfree,pay_00017,2026-08-17,-140.17
ch_00020,CHARGE,pout_00001,cashfree,pay_00019,2026-08-16,2610.16
fee_00010,FEE,pout_00001,cashfree,pay_00019,2026-08-16,-57.81
ch_00022,CHARGE,pout_00001,cashfree,pay_00021,2026-08-18,6688.21
fee_00011,FEE,pout_00001,cashfree,pay_00021,2026-08-18,-143.45
ch_00024,CHARGE,pout_00001,cashfree,pay_00023,2026-08-18,7484.65
fee_00012,FEE,pout_00001,cashfree,pay_00023,2026-08-18,-160.18
ch_00026,CHARGE,pout_00001,cashfree,pay_00025,2026-08-18,8747.72
fee_00013,FEE,pout_00001,cashfree,pay_00025,2026-08-18,-186.70
ch_00028,CHARGE,pout_00001,cashfree,pay_00027,2026-08-17,5515.73
fee_00014,FEE,pout_00001,cashfree,pay_00027,2026-08-17,-118.83
ch_00030,CHARGE,pout_00001,cashfree,pay_00029,2026-08-18,6798.87
fee_00015,FEE,pout_00001,cashfree,pay_00029,2026-08-18,-145.78
ch_00032,CHARGE,pout_00001,cashfree,pay_00031,2026-08-17,4407.24
fee_00016,FEE,pout_00001,cashfree,pay_00031,2026-08-17,-95.55
ch_00034,CHARGE,pout_00002,razorpay,pay_00033,2026-08-08,1154.86
fee_00017,FEE,pout_00002,razorpay,pay_00033,2026-08-08,-29.72
ch_00036,CHARGE,pout_00002,razorpay,pay_00035,2026-08-07,5672.87
fee_00018,FEE,pout_00002,razorpay,pay_00035,2026-08-07,-138.15
ch_00038,CHARGE,pout_00002,razorpay,pay_00037,2026-08-08,2297.23
fee_00019,FEE,pout_00002,razorpay,pay_00037,2026-08-08,-57.13
ch_00040,CHARGE,pout_00002,razorpay,pay_00039,2026-08-07,8046.43
fee_00020,FEE,pout_00002,razorpay,pay_00039,2026-08-07,-195.11
ch_00042,CHARGE,pout_00002,razorpay,pay_00041,2026-08-06,3549.06
fee_00021,FEE,pout_00002,razorpay,pay_00041,2026-08-06,-87.18
ch_00044,CHARGE,pout_00002,razorpay,pay_00043,2026-08-06,8750.46
fee_00022,FEE,pout_00002,razorpay,pay_00043,2026-08-06,-212.01
ch_00046,CHARGE,pout_00002,razorpay,pay_00045,2026-08-06,4602.02
fee_00023,FEE,pout_00002,razorpay,pay_00045,2026-08-06,-112.45
ch_00048,CHARGE,pout_00002,razorpay,pay_00047,2026-08-08,6890.33
fee_00024,FEE,pout_00002,razorpay,pay_00047,2026-08-08,-167.37
ch_00050,CHARGE,pout_00002,razorpay,pay_00049,2026-08-07,1091.16
fee_00025,FEE,pout_00002,razorpay,pay_00049,2026-08-07,-28.19
ch_00052,CHARGE,pout_00002,razorpay,pay_00051,2026-08-07,7710.39
fee_00026,FEE,pout_00002,razorpay,pay_00051,2026-08-07,-187.05
ch_00054,CHARGE,pout_00002,razorpay,pay_00053,2026-08-06,4149.83
fee_00027,FEE,pout_00002,razorpay,pay_00053,2026-08-06,-101.60
ch_00056,CHARGE,pout_00002,razorpay,pay_00055,2026-08-08,1898.94
fee_00028,FEE,pout_00002,razorpay,pay_00055,2026-08-08,-47.57
ch_00058,CHARGE,pout_00002,razorpay,pay_00057,2026-08-06,2296.38
fee_00029,FEE,pout_00002,razorpay,pay_00057,2026-08-06,-57.11
ch_00060,CHARGE,pout_00002,razorpay,pay_00059,2026-08-07,6495.55
fee_00030,FEE,pout_00002,razorpay,pay_00059,2026-08-07,-157.89
ch_00062,CHARGE,pout_00002,razorpay,pay_00061,2026-08-07,1761.66
fee_00031,FEE,pout_00002,razorpay,pay_00061,2026-08-07,-44.28
ch_00064,CHARGE,pout_00002,razorpay,pay_00063,2026-08-07,1529.13
fee_00032,FEE,pout_00002,razorpay,pay_00063,2026-08-07,-38.70
ch_00066,CHARGE,pout_00003,razorpay,pay_00065,2026-08-07,575.89
fee_00033,FEE,pout_00003,razorpay,pay_00065,2026-08-07,-15.82
ch_00068,CHARGE,pout_00003,razorpay,pay_00067,2026-08-07,3652.99
fee_00034,FEE,pout_00003,razorpay,pay_00067,2026-08-07,-89.67
ch_00070,CHARGE,pout_00003,razorpay,pay_00069,2026-08-07,6621.40
fee_00035,FEE,pout_00003,razorpay,pay_00069,2026-08-07,-160.91
ch_00072,CHARGE,pout_00003,razorpay,pay_00071,2026-08-08,632.47
fee_00036,FEE,pout_00003,razorpay,pay_00071,2026-08-08,-17.18
ch_00074,CHARGE,pout_00003,razorpay,pay_00073,2026-08-09,3390.40
fee_00037,FEE,pout_00003,razorpay,pay_00073,2026-08-09,-83.37
ch_00076,CHARGE,pout_00003,razorpay,pay_00075,2026-08-08,1256.48
fee_00038,FEE,pout_00003,razorpay,pay_00075,2026-08-08,-32.16
ch_00078,CHARGE,pout_00003,razorpay,pay_00077,2026-08-08,3888.54
fee_00039,FEE,pout_00003,razorpay,pay_00077,2026-08-08,-95.32
ch_00080,CHARGE,pout_00003,razorpay,pay_00079,2026-08-09,7626.95
fee_00040,FEE,pout_00003,razorpay,pay_00079,2026-08-09,-185.05
ch_00082,CHARGE,pout_00003,razorpay,pay_00081,2026-08-07,1013.68
fee_00041,FEE,pout_00003,razorpay,pay_00081,2026-08-07,-26.33
ch_00084,CHARGE,pout_00003,razorpay,pay_00083,2026-08-07,3452.16
fee_00042,FEE,pout_00003,razorpay,pay_00083,2026-08-07,-84.85
ch_00086,CHARGE,pout_00003,razorpay,pay_00085,2026-08-07,6963.85
fee_00043,FEE,pout_00003,razorpay,pay_00085,2026-08-07,-169.13
ch_00088,CHARGE,pout_00003,razorpay,pay_00087,2026-08-07,2361.69
fee_00044,FEE,pout_00003,razorpay,pay_00087,2026-08-07,-58.68
ch_00090,CHARGE,pout_00003,razorpay,pay_00089,2026-08-09,1449.67
fee_00045,FEE,pout_00003,razorpay,pay_00089,2026-08-09,-36.79
ch_00092,CHARGE,pout_00003,razorpay,pay_00091,2026-08-08,6028.68
fee_00046,FEE,pout_00003,razorpay,pay_00091,2026-08-08,-146.69
ch_00094,CHARGE,pout_00003,razorpay,pay_00093,2026-08-09,8616.68
fee_00047,FEE,pout_00003,razorpay,pay_00093,2026-08-09,-208.80
ch_00096,CHARGE,pout_00003,razorpay,pay_00095,2026-08-08,6543.05
fee_00048,FEE,pout_00003,razorpay,pay_00095,2026-08-08,-159.03
ch_00098,CHARGE,pout_00003,razorpay,pay_00097,2026-08-07,7873.61
fee_00049,FEE,pout_00003,razorpay,pay_00097,2026-08-07,-190.97
ch_00100,CHARGE,pout_00003,razorpay,pay_00099,2026-08-07,591.42
fee_00050,FEE,pout_00003,razorpay,pay_00099,2026-08-07,-16.19
rfnd_00001,REFUND,pout_00003,razorpay,pay_00071,2026-08-09,-632.47
rfnd_00002,REFUND,pout_00003,razorpay,pay_00077,2026-08-09,-3888.54
rfnd_00003,REFUND,pout_00003,razorpay,pay_00087,2026-08-09,-2361.69
ch_00102,CHARGE,pout_00004,cashfree,pay_00101,2026-08-06,3385.46
fee_00051,FEE,pout_00004,cashfree,pay_00101,2026-08-06,-74.09
ch_00104,CHARGE,pout_00004,cashfree,pay_00103,2026-08-06,380.68
fee_00052,FEE,pout_00004,cashfree,pay_00103,2026-08-06,-10.99
ch_00106,CHARGE,pout_00004,cashfree,pay_00105,2026-08-05,2798.02
fee_00053,FEE,pout_00004,cashfree,pay_00105,2026-08-05,-61.76
ch_00108,CHARGE,pout_00004,cashfree,pay_00107,2026-08-07,6257.36
fee_00054,FEE,pout_00004,cashfree,pay_00107,2026-08-07,-134.40
ch_00110,CHARGE,pout_00004,cashfree,pay_00109,2026-08-05,3711.14
fee_00055,FEE,pout_00004,cashfree,pay_00109,2026-08-05,-80.93
ch_00112,CHARGE,pout_00004,cashfree,pay_00111,2026-08-07,8381.23
fee_00056,FEE,pout_00004,cashfree,pay_00111,2026-08-07,-179.01
ch_00114,CHARGE,pout_00004,cashfree,pay_00113,2026-08-06,5009.51
fee_00057,FEE,pout_00004,cashfree,pay_00113,2026-08-06,-108.20
rfnd_00004,REFUND,pout_00004,cashfree,pay_00107,2026-08-07,-6257.36
ch_00116,CHARGE,pout_00005,razorpay,pay_00115,2026-08-16,6442.88
fee_00058,FEE,pout_00005,razorpay,pay_00115,2026-08-16,-156.63
ch_00118,CHARGE,pout_00005,razorpay,pay_00117,2026-08-16,7100.33
fee_00059,FEE,pout_00005,razorpay,pay_00117,2026-08-16,-172.41
ch_00120,CHARGE,pout_00005,razorpay,pay_00119,2026-08-16,6461.63
fee_00060,FEE,pout_00005,razorpay,pay_00119,2026-08-16,-157.08
ch_00122,CHARGE,pout_00005,razorpay,pay_00121,2026-08-14,4988.55
