Txn Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance
01-09-26,SALARY/AUG,"₹6,12,000.00",,"₹6,28,118.22"
02-09-26,NEFT/CASHFREE/pout_000/SETTLEMENT,,"₹67,498.63","₹6,95,616.85"
03-09-26,NEFT/RAZORPAY/pout_00008/SETTLEMENT,,"₹63,832.99","₹7,59,449.84"
03-09-26,VENDOR PAYMENT/ACME PACKAGING,"₹84,200.00",,"₹6,75,249.84"
04-09-26,NEFT/CASHFREE/pout_00012/SETTLEMENT,,"₹36,296.22","₹7,11,546.06"
08-09-26,NEFT/CASHFREE/pout_00022/SETTLEMENT,,"₹47,050.27","₹7,58,596.33"
09-09-26,NEFT/RAZORPAY/pout_00003/SETTLEMENT,,"₹69,339.64","₹8,27,935.97"
10-09-26,NEFT/RAZORPAY/pout_00004/SETTLEMENT,,"₹64,938.90","₹8,92,874.87"
11-09-26,NEFT/CASHFREE/pout_000/SETTLEMENT,,"₹89,406.41","₹9,82,281.28"
11-09-26,NEFT/RAZORPAY/pout_00007/SETTLEMENT,,"₹73,688.32","₹10,55,969.60"
12-09-26,NEFT/CASHFREE/pout_00019/SETTLEMENT,,"₹43,071.23","₹10,99,040.83"
12-09-26,NEFT/RAZORPAY/pout_00021/SETTLEMENT,,"₹42,593.74","₹11,41,634.57"
13-09-26,NEFT/RAZORPAY/pout_00009/SETTLEMENT,,"₹61,716.34","₹12,03,350.91"
14-09-26,GST/CHALLAN,"₹1,49,300.00",,"₹10,54,050.91"
15-09-26,NEFT/CASHFREE/pout_00016/SETTLEMENT,,"₹20,314.27","₹10,74,365.18"
19-09-26,NEFT/CASHFREE/pout_00020/SETTLEMENT,,"₹64,213.26","₹11,38,578.44"
23-09-26,NEFT/RAZORPAY/pout_00005/SETTLEMENT,,"₹68,725.53","₹12,07,303.97"
24-09-26,NEFT/CASHFREE/pout_00013/SETTLEMENT,,"₹55,208.05","₹12,62,512.02"
25-09-26,NEFT/RAZORPAY/pout_00015/SETTLEMENT,,"₹33,518.06","₹12,96,030.08"
25-09-26,IMPS/UNKNOWN COUNTERPARTY/NO REF,,"₹1,160.00","₹12,97,190.08"
27-09-26,NEFT/CASHFREE/pout_00010/SETTLEMENT,,"₹35,661.04","₹13,32,851.12"
27-09-26,NEFT/RAZORPAY/pout_00011/SETTLEMENT,,"₹48,495.55","₹13,81,346.67"
28-09-26,NEFT/RAZORPAY/SETTLEMENT,,"₹87,250.40","₹14,68,597.07"
29-09-26,NEFT/CASHFREE/pout_00006/SETTLEMENT,,"₹34,480.87","₹15,03,077.94"
30-09-26,NEFT/RAZORPAY/pout_00014/SETTLEMENT,,"₹42,392.76","₹15,45,470.70"
01-10-26,NEFT/RAZORPAY/pout_00018/SETTLEMENT,,"₹22,016.86","₹15,67,487.56"


