row_id,row_type,payout_id,gateway,payment_id,value_date,amount
ch_00002,CHARGE,pout_00001,cashfree,pay_00001,2026-08-30,7814.56
fee_00001,FEE,pout_00001,cashfree,pay_00001,2026-08-30,-167.11
ch_00004,CHARGE,pout_00001,cashfree,pay_00003,2026-09-01,8407.35
fee_00002,FEE,pout_00001,cashfree,pay_00003,2026-09-01,-179.55
ch_00006,CHARGE,pout_00001,cashfree,pay_00005,2026-08-31,4105.72
fee_00003,FEE,pout_00001,cashfree,pay_00005,2026-08-31,-89.22
ch_00008,CHARGE,pout_00001,cashfree,pay_00007,2026-08-30,4195.91
fee_00004,FEE,pout_00001,cashfree,pay_00007,2026-08-30,-91.11
ch_00010,CHARGE,pout_00001,cashfree,pay_00009,2026-08-30,211.80
fee_00005,FEE,pout_00001,cashfree,pay_00009,2026-08-30,-7.45
ch_00012,CHARGE,pout_00001,cashfree,pay_00011,2026-08-30,4210.13
fee_00006,FEE,pout_00001,cashfree,pay_00011,2026-08-30,-91.41
ch_00014,CHARGE,pout_00001,cashfree,pay_00013,2026-09-01,7562.59
fee_00007,FEE,pout_00001,cashfree,pay_00013,2026-09-01,-161.81
ch_00016,CHARGE,pout_00001,cashfree,pay_00015,2026-08-31,5505.42
fee_00008,FEE,pout_00001,cashfree,pay_00015,2026-08-31,-118.61
ch_00018,CHARGE,pout_00001,cashfree,pay_00017,2026-08-31,3005.24
fee_00009,FEE,pout_00001,cashfree,pay_00017,2026-08-31,-66.11
ch_00020,CHARGE,pout_00001,cashfree,pay_00019,2026-09-01,3175.18
fee_00010,FEE,pout_00001,cashfree,pay_00019,2026-09-01,-69.68
ch_00022,CHARGE,pout_00001,cashfree,pay_00021,2026-09-01,1088.18
fee_00011,FEE,pout_00001,cashfree,pay_00021,2026-09-01,-25.85
ch_00024,CHARGE,pout_00001,cashfree,pay_00023,2026-08-31,4717.53
fee_00012,FEE,pout_00001,cashfree,pay_00023,2026-08-31,-102.07
ch_00026,CHARGE,pout_00001,cashfree,pay_00025,2026-08-30,8034.90
fee_00013,FEE,pout_00001,cashfree,pay_00025,2026-08-30,-171.73
ch_00028,CHARGE,pout_00001,cashfree,pay_00027,2026-09-01,6954.88
fee_00014,FEE,pout_00001,cashfree,pay_00027,2026-09-01,-149.05
ch_00030,CHARGE,pout_00002,cashfree,pay_00029,2026-09-09,3790.44
fee_00015,FEE,pout_00002,cashfree,pay_00029,2026-09-09,-82.60
ch_00032,CHARGE,pout_00002,cashfree,pay_00031,2026-09-09,2202.54
fee_00016,FEE,pout_00002,cashfree,pay_00031,2026-09-09,-49.25
ch_00034,CHARGE,pout_00002,cashfree,pay_00033,2026-09-08,8733.19
fee_00017,FEE,pout_00002,cashfree,pay_00033,2026-09-08,-186.40
ch_00036,CHARGE,pout_00002,cashfree,pay_00035,2026-09-09,8328.77
fee_00018,FEE,pout_00002,cashfree,pay_00035,2026-09-09,-177.90
ch_00038,CHARGE,pout_00002,cashfree,pay_00037,2026-09-10,6615.11
fee_00019,FEE,pout_00002,cashfree,pay_00037,2026-09-10,-141.92
ch_00040,CHARGE,pout_00002,cashfree,pay_00039,2026-09-10,2925.57
fee_00020,FEE,pout_00002,cashfree,pay_00039,2026-09-10,-64.44
ch_00042,CHARGE,pout_00002,cashfree,pay_00041,2026-09-08,8476.43
fee_00021,FEE,pout_00002,cashfree,pay_00041,2026-09-08,-181.01
ch_00044,CHARGE,pout_00002,cashfree,pay_00043,2026-09-08,4237.43
fee_00022,FEE,pout_00002,cashfree,pay_00043,2026-09-08,-91.99
ch_00046,CHARGE,pout_00002,cashfree,pay_00045,2026-09-10,6326.22
fee_00023,FEE,pout_00002,cashfree,pay_00045,2026-09-10,-135.85
ch_00048,CHARGE,pout_00002,cashfree,pay_00047,2026-09-09,5166.82
fee_00024,FEE,pout_00002,cashfree,pay_00047,2026-09-09,-111.50
ch_00050,CHARGE,pout_00002,cashfree,pay_00049,2026-09-09,6335.04
fee_00025,FEE,pout_00002,cashfree,pay_00049,2026-09-09,-136.04
ch_00052,CHARGE,pout_00002,cashfree,pay_00051,2026-09-10,2717.92
fee_00026,FEE,pout_00002,cashfree,pay_00051,2026-09-10,-60.08
ch_00054,CHARGE,pout_00002,cashfree,pay_00053,2026-09-08,7313.92
fee_00027,FEE,pout_00002,cashfree,pay_00053,2026-09-08,-156.59
ch_00056,CHARGE,pout_00002,cashfree,pay_00055,2026-09-10,5852.05
fee_00028,FEE,pout_00002,cashfree,pay_00055,2026-09-10,-125.89
ch_00058,CHARGE,pout_00002,cashfree,pay_00057,2026-09-10,1640.54
fee_00029,FEE,pout_00002,cashfree,pay_00057,2026-09-10,-37.45
ch_00060,CHARGE,pout_00002,cashfree,pay_00059,2026-09-09,3075.69
fee_00030,FEE,pout_00002,cashfree,pay_00059,2026-09-09,-67.59
ch_00062,CHARGE,pout_00002,cashfree,pay_00061,2026-09-08,7638.64
fee_00031,FEE,pout_00002,cashfree,pay_00061,2026-09-08,-163.41
ch_00519,CHARGE,pout_00002,cashfree,pay_00029,2026-09-09,3790.44
fee_00260,FEE,pout_00002,cashfree,pay_00029,2026-09-09,-82.60
ch_00064,CHARGE,pout_00003,razorpay,pay_00063,2026-09-08,1719.21
fee_00032,FEE,pout_00003,razorpay,pay_00063,2026-09-08,-43.26
ch_00066,CHARGE,pout_00003,razorpay,pay_00065,2026-09-06,4250.01
fee_00033,FEE,pout_00003,razorpay,pay_00065,2026-09-06,-104.00
ch_00068,CHARGE,pout_00003,razorpay,pay_00067,2026-09-06,3431.13
fee_00034,FEE,pout_00003,razorpay,pay_00067,2026-09-06,-84.35
ch_00070,CHARGE,pout_00003,razorpay,pay_00069,2026-09-08,1118.43
fee_00035,FEE,pout_00003,razorpay,pay_00069,2026-09-08,-28.84
ch_00072,CHARGE,pout_00003,razorpay,pay_00071,2026-09-07,8187.30
fee_00036,FEE,pout_00003,razorpay,pay_00071,2026-09-07,-198.50
ch_00074,CHARGE,pout_00003,razorpay,pay_00073,2026-09-06,5931.69
fee_00037,FEE,pout_00003,razorpay,pay_00073,2026-09-06,-144.36
ch_00076,CHARGE,pout_00003,razorpay,pay_00075,2026-09-08,911.29
fee_00038,FEE,pout_00003,razorpay,pay_00075,2026-09-08,-23.87
ch_00078,CHARGE,pout_00003,razorpay,pay_00077,2026-09-07,6315.74
fee_00039,FEE,pout_00003,razorpay,pay_00077,2026-09-07,-153.58
ch_00080,CHARGE,pout_00003,razorpay,pay_00079,2026-09-06,820.59
fee_00040,FEE,pout_00003,razorpay,pay_00079,2026-09-06,-21.69
ch_00082,CHARGE,pout_00003,razorpay,pay_00081,2026-09-06,1891.91
fee_00041,FEE,pout_00003,razorpay,pay_00081,2026-09-06,-47.41
ch_00084,CHARGE,pout_00003,razorpay,pay_00083,2026-09-06,6434.51
